Order_Date,Qty,Vendor,Location,Material_Num,Order_Type,DAYS
04/02/2019,10,165818,03,1360014,B,20
06/04/2020,2,161209,52,1360014,B,64
08/07/2020,15,165818,05,1360014,A,67
07/02/2020,94,165818,03,1360014,A,31
01/07/2020,15,165818,03,1360014,A,70
08/07/2020,4,165818,07,1360014,A,73
09/24/2020,173,165818,03,1360014,A,56
08/23/2019,2,165818,05,1360014,A,64
12/13/2018,12,160455,52,1360014,B,73
06/04/2019,42,165818,05,1360014,B,40
04/10/2019,8,165818,07,1360014,B,21
10/03/2019,38,165818,03,1360014,A,15
08/21/2019,34,165818,07,1360014,A,20
05/08/2019,13,165818,07,1360014,B,22
06/26/2020,10,165818,05,1360014,A,95
01/13/2020,28,165818,05,1360014,A,54
06/07/2019,5,165818,03,1360014,B,23
01/07/2019,8,165818,07,1360014,B,19
04/03/2019,11,165818,07,1360014,B,21
04/26/2019,12,165818,05,1360014,B,15
10/08/2019,60,165818,07,1360014,A,20
10/03/2019,15,165818,05,1360014,A,15
04/02/2019,21,165818,03,1360014,B,13
01/07/2020,41,165818,03,1360014,A,18
01/20/2020,33,165818,05,1360014,A,10
04/29/2019,20,165818,03,1360014,B,18
06/15/2020,55,165818,05,1360014,A,82
04/04/2019,48,165818,05,1360014,B,28
01/08/2020,79,165818,05,1360014,A,26
03/24/2020,35,165818,07,1360014,A,12
08/01/2019,10,165818,07,1360014,B,57
01/13/2020,58,165818,07,1360014,A,31
03/27/2019,1,165818,03,1360014,B,20
01/08/2020,15,165818,07,1360014,A,69
11/22/2018,4,160455,52,1360014,B,86
09/04/2020,11,165818,05,1360014,A,91
07/13/2020,50,165818,05,1360014,A,42
09/08/2020,11,165818,05,1360014,A,95
08/19/2019,22,165818,07,1360014,A,18
01/13/2020,37,165818,07,1360014,A,24
09/16/2020,17,165818,07,1360014,A,48
08/23/2019,16,165818,07,1360014,A,22
01/03/2020,15,165818,03,1360014,A,66
07/22/2019,11,165818,07,1360014,B,74
11/14/2019,4,160455,52,1360014,B,44
10/28/2019,77,165818,03,1360014,A,25
01/13/2020,18,165818,05,1360014,A,74
04/07/2020,107,165818,03,1360014,A,13
05/31/2019,6,165818,03,1360014,B,43
05/06/2020,48,165818,07,1360014,A,42
01/10/2020,11,165818,05,1360014,A,57
09/18/2019,18,165818,07,1360014,A,35
06/07/2019,29,165818,05,1360014,B,23
04/03/2020,53,165818,03,1360014,A,14
07/31/2019,26,165818,03,1360014,B,83
08/01/2019,20,165818,07,1360014,B,105
08/04/2020,66,165818,07,1360014,A,64
10/13/2020,67,116333,05,1360014,A,41
08/05/2019,46,165818,03,1360014,B,61
06/26/2020,46,165818,07,1360014,A,95
09/16/2019,67,165818,03,1360014,A,39
09/16/2020,17,165818,05,1360014,A,48
08/13/2019,30,165818,05,1360014,B,69
04/20/2020,90,165818,07,1360014,A,26
06/05/2019,7,165818,03,1360014,B,34
07/30/2020,9,161209,52,1360014,B,31
05/19/2020,20,165818,03,1360014,A,27
01/24/2020,37,165818,03,1360014,A,14
07/22/2019,28,165818,05,1360014,B,74
07/22/2019,8,165818,05,1360014,B,81
09/13/2019,11,165818,03,1360014,A,36
12/11/2019,6,160455,52,1360014,B,42
08/14/2019,29,165818,03,1360014,A,55
09/24/2019,25,165818,05,1360014,A,33
09/24/2020,11,161210,52,1360014,B,38
05/21/2020,14,165818,03,1360014,A,58
09/26/2019,20,165818,03,1360014,A,35
07/30/2019,15,165818,05,1360014,B,69
08/08/2019,42,165818,07,1360014,B,64
10/27/2020,4,161210,52,1360014,B,64
09/02/2020,31,165818,03,1360014,A,89
01/07/2020,8,165818,07,1360014,A,54
11/01/2019,12,160455,52,1360014,B,31
03/30/2020,32,165818,07,1360014,A,10
09/01/2020,53,165818,07,1360014,A,98
01/08/2020,1,165818,07,1360014,A,71
05/05/2020,31,165818,03,1360014,A,42
09/14/2019,43,165818,05,1360014,A,37
12/31/2018,7,165818,05,1360014,B,12
03/28/2019,51,165818,03,1360014,B,21
01/07/2020,22,165818,03,1360014,A,68
05/20/2019,4,165818,05,1360014,B,53
06/25/2020,36,165818,05,1360014,A,94
08/12/2020,17,165818,05,1360014,A,78
01/07/2020,15,165818,07,1360014,A,68
08/17/2020,85,165818,05,1360014,A,83
08/21/2019,14,165818,05,1360014,A,62
06/11/2020,1,165818,05,1360014,A,78
02/14/2020,10,161209,52,1360014,B,43
07/02/2019,33,165818,03,1360014,B,54
04/03/2019,21,165818,05,1360014,B,21
06/26/2020,73,165818,05,1360014,A,93
06/29/2020,5,165818,03,1360014,A,97
04/04/2019,42,165818,03,1360014,B,15
06/18/2020,37,165818,03,1360014,A,57
03/24/2020,14,165818,05,1360014,A,12
05/14/2020,55,165818,05,1360014,A,22
09/20/2019,16,165818,03,1360014,A,43
09/18/2019,4,165818,03,1360014,A,41
06/07/2019,8,165818,07,1360014,B,43
08/06/2020,10,165818,03,1360014,A,72
07/01/2020,46,165818,07,1360014,A,99
05/22/2020,22,165818,07,1360014,A,30
07/10/2020,41,165818,05,1360014,A,39
09/02/2020,74,165818,03,1360014,A,99
07/22/2019,16,165818,07,1360014,B,81
01/06/2020,22,165818,03,1360014,A,47
04/06/2020,48,165818,03,1360014,A,12
02/19/2019,50,165818,07,1360014,B,25
10/17/2019,18,165818,03,1360014,A,14
09/10/2019,12,165818,05,1360014,A,33
01/02/2020,101,165818,03,1360014,A,20
04/24/2019,45,165818,05,1360014,B,27
09/10/2020,36,165818,07,1360014,A,97
08/06/2020,7,165818,07,1360014,A,72
05/31/2019,13,165818,05,1360014,B,43
08/04/2020,5,165818,03,1360014,A,70
04/03/2019,13,165818,03,1360048,B,27
08/21/2019,110,165818,05,1360048,A,20
07/17/2019,40,165818,07,1360048,A,27
04/03/2019,8,165818,05,1360048,B,21
11/07/2019,9,165818,07,1360048,A,35
04/03/2020,9,165818,07,1360048,A,9
04/03/2020,60,165818,07,1360048,A,44
04/03/2020,6,165818,07,1360048,A,14
12/21/2018,28,165818,05,1360048,B,30
10/01/2019,18,165818,05,1360048,A,48
01/09/2020,16,165818,05,1360048,A,72
11/09/2018,26,165818,03,1360048,B,16
04/01/2020,92,165818,03,1360048,A,33
01/07/2020,3,165818,07,1360048,A,48
08/31/2019,12,165818,05,1360048,A,30
10/01/2019,43,165818,03,1360048,A,13
12/14/2018,23,165818,07,1360048,B,35
01/06/2020,23,165818,07,1360048,A,69
03/23/2020,28,165818,07,1360048,A,24
11/01/2019,13,165818,03,1360048,A,23
01/03/2019,4,165818,07,1360048,B,17
02/14/2019,34,165818,05,1360048,B,34
11/25/2019,14,165818,05,1360048,A,53
01/03/2020,10,165818,03,1360048,A,21
02/06/2020,28,165818,05,1360048,A,14
02/14/2019,18,165818,07,1360048,B,41
04/08/2019,27,165818,07,1360048,B,19
01/31/2019,41,165818,03,1360048,B,27
03/27/2020,16,165818,05,1360048,A,7
12/17/2018,4,165818,03,1360048,B,10
01/06/2020,27,165818,03,1360048,A,69
09/01/2020,45,165818,03,1360048,A,98
11/19/2019,7,165818,05,1360048,A,41
04/04/2019,54,165818,05,1360048,B,28
04/02/2019,30,165818,03,1360048,B,26
03/18/2020,79,165818,05,1360048,A,28
02/11/2019,15,165818,03,1360048,B,31
04/01/2020,61,165818,05,1360048,A,20
02/15/2019,2,165818,05,1360048,B,28
01/06/2020,70,165818,03,1360048,A,53
11/12/2019,6,165818,03,1360048,A,20
